YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2024-02,WEEKENDS/HOLIDAY,11,TRAIN,BP12,1534,687
2024-02,WEEKDAY,13,TRAIN,NE17/PTC,41026,43004
2024-02,WEEKENDS/HOLIDAY,13,TRAIN,NE17/PTC,23794,22060
2024-02,WEEKDAY,15,TRAIN,EW23,45812,44488
2024-02,WEEKENDS/HOLIDAY,15,TRAIN,EW23,21077,21004
2024-02,WEEKENDS/HOLIDAY,20,TRAIN,NE8,29988,20252
2024-02,WEEKDAY,20,TRAIN,NE8,37666,37689
2024-02,WEEKENDS/HOLIDAY,19,TRAIN,EW33,2421,2726
2024-02,WEEKDAY,19,TRAIN,EW33,6167,6718
2024-02,WEEKENDS/HOLIDAY,8,TRAIN,TE16,1903,1469
2024-02,WEEKDAY,8,TRAIN,TE16,11361,12619
2024-02,WEEKENDS/HOLIDAY,7,TRAIN,BP5,546,386
2024-02,WEEKDAY,7,TRAIN,BP5,5935,3519
2024-02,WEEKENDS/HOLIDAY,8,TRAIN,SW6,1765,427
2024-02,WEEKDAY,8,TRAIN,SW6,10917,2653
2024-02,WEEKENDS/HOLIDAY,16,TRAIN,EW4,7581,7301
2024-02,WEEKDAY,16,TRAIN,EW4,17675,15833
2024-02,WEEKDAY,14,TRAIN,CC2,4735,6013
2024-02,WEEKENDS/HOLIDAY,14,TRAIN,CC2,2177,2727
2024-02,WEEKENDS/HOLIDAY,12,TRAIN,NE14,16772,10960
2024-02,WEEKDAY,12,TRAIN,NE14,29674,20411
2024-02,WEEKDAY,20,TRAIN,NE4/DT19,90564,45471
2024-02,WEEKENDS/HOLIDAY,20,TRAIN,NE4/DT19,39925,23732
2024-02,WEEKDAY,0,TRAIN,SE5,42,343
2024-02,WEEKENDS/HOLIDAY,0,TRAIN,SE5,20,174
2024-02,WEEKDAY,23,TRAIN,EW6,1416,6750
2024-02,WEEKENDS/HOLIDAY,23,TRAIN,EW6,900,2712
2024-02,WEEKDAY,12,TRAIN,CC4/DT15,18376,29485
2024-02,WEEKENDS/HOLIDAY,12,TRAIN,CC4/DT15,4790,10749
2024-02,WEEKDAY,15,TRAIN,NE4/DT19,65686,56787
2024-02,WEEKENDS/HOLIDAY,15,TRAIN,NE4/DT19,38639,33442
2024-02,WEEKDAY,8,TRAIN,SW1,4083,7067
2024-02,WEEKENDS/HOLIDAY,8,TRAIN,SW1,759,635
2024-02,WEEKENDS/HOLIDAY,9,TRAIN,NS10,20349,8841
2024-02,WEEKDAY,9,TRAIN,NS10,57543,23160
2024-02,WEEKENDS/HOLIDAY,7,TRAIN,DT33,5552,2498
2024-02,WEEKDAY,7,TRAIN,DT33,64671,30288
2024-02,WEEKDAY,0,TRAIN,DT24,75,383
2024-02,WEEKENDS/HOLIDAY,0,TRAIN,DT24,38,235
2024-02,WEEKDAY,0,TRAIN,NS18,263,1818
2024-02,WEEKENDS/HOLIDAY,0,TRAIN,NS18,141,790
2024-02,WEEKDAY,22,TRAIN,NS24/NE6/CC1,35894,10517
2024-02,WEEKENDS/HOLIDAY,22,TRAIN,NS24/NE6/CC1,12637,5286
2024-02,WEEKDAY,21,TRAIN,EW3,9857,21672
2024-02,WEEKENDS/HOLIDAY,21,TRAIN,EW3,4200,8967
2024-02,WEEKENDS/HOLIDAY,21,TRAIN,CG1/DT35,7748,2067
2024-02,WEEKDAY,21,TRAIN,CG1/DT35,17304,3144
2024-02,WEEKENDS/HOLIDAY,13,TRAIN,NS21/DT11,29332,29271
2024-02,WEEKDAY,13,TRAIN,NS21/DT11,52172,62961
2024-02,WEEKENDS/HOLIDAY,17,TRAIN,TE12,2071,1278
2024-02,WEEKDAY,17,TRAIN,TE12,13179,3350
2024-02,WEEKENDS/HOLIDAY,7,TRAIN,CC23,603,2027
2024-02,WEEKDAY,7,TRAIN,CC23,3505,36076
2024-02,WEEKDAY,16,TRAIN,SW1,5177,2547
2024-02,WEEKENDS/HOLIDAY,16,TRAIN,SW1,1259,816
2024-02,WEEKDAY,20,TRAIN,NE15,10182,34220
2024-02,WEEKENDS/HOLIDAY,20,TRAIN,NE15,4710,11130
2024-02,WEEKENDS/HOLIDAY,13,TRAIN,EW29,5783,3766
2024-02,WEEKDAY,13,TRAIN,EW29,9829,6887
2024-02,WEEKENDS/HOLIDAY,13,TRAIN,EW30,1097,514
2024-02,WEEKDAY,13,TRAIN,EW30,1321,1117
2024-02,WEEKENDS/HOLIDAY,7,TRAIN,EW32,2540,4306
2024-02,WEEKDAY,7,TRAIN,EW32,5250,29720
2024-02,WEEKENDS/HOLIDAY,7,TRAIN,NE14,9213,4195
2024-02,WEEKDAY,7,TRAIN,NE14,89294,38676
2024-02,WEEKENDS/HOLIDAY,13,TRAIN,SE3,1615,1348
2024-02,WEEKDAY,13,TRAIN,SE3,4005,3299
2024-02,WEEKDAY,20,TRAIN,EW30,5498,1395
2024-02,WEEKENDS/HOLIDAY,20,TRAIN,EW30,955,1392
2024-02,WEEKENDS/HOLIDAY,12,TRAIN,NS17/CC15,22084,18093
2024-02,WEEKDAY,12,TRAIN,NS17/CC15,40758,39826
2024-02,WEEKENDS/HOLIDAY,15,TRAIN,EW26,13531,12860
2024-02,WEEKDAY,15,TRAIN,EW26,23670,24669
2024-02,WEEKENDS/HOLIDAY,17,TRAIN,TE13,2178,1530
2024-02,WEEKDAY,17,TRAIN,TE13,7665,4152
2024-02,WEEKDAY,9,TRAIN,EW23,51733,47519
2024-02,WEEKENDS/HOLIDAY,9,TRAIN,EW23,19493,14153
2024-02,WEEKDAY,21,TRAIN,DT34,2861,5135
2024-02,WEEKENDS/HOLIDAY,21,TRAIN,DT34,970,2617
2024-02,WEEKDAY,20,TRAIN,DT5,11646,16688
2024-02,WEEKENDS/HOLIDAY,20,TRAIN,DT5,3920,6367
2024-02,WEEKENDS/HOLIDAY,15,TRAIN,DT22,5752,6070
2024-02,WEEKDAY,15,TRAIN,DT22,7296,7938
2024-02,WEEKENDS/HOLIDAY,21,TRAIN,CC27,763,393
2024-02,WEEKDAY,21,TRAIN,CC27,4965,1062
2024-02,WEEKENDS/HOLIDAY,15,TRAIN,SE4,1497,1636
2024-02,WEEKDAY,15,TRAIN,SE4,2768,3906
2024-02,WEEKENDS/HOLIDAY,19,TRAIN,PW6,392,658
2024-02,WEEKDAY,19,TRAIN,PW6,1043,3064
2024-02,WEEKENDS/HOLIDAY,8,TRAIN,NE10,5002,3782
2024-02,WEEKDAY,8,TRAIN,NE10,39804,34479
2024-02,WEEKENDS/HOLIDAY,15,TRAIN,NS5,11625,12818
2024-02,WEEKDAY,15,TRAIN,NS5,20776,26518
2024-02,WEEKDAY,11,TRAIN,DT13,9308,14632
2024-02,WEEKENDS/HOLIDAY,11,TRAIN,DT13,5426,6875
2024-02,WEEKENDS/HOLIDAY,20,TRAIN,DT27,2123,4505
2024-02,WEEKDAY,20,TRAIN,DT27,7267,9838
2024-02,WEEKDAY,20,TRAIN,SW3,880,3541
2024-02,WEEKENDS/HOLIDAY,20,TRAIN,SW3,430,1192
2024-02,WEEKENDS/HOLIDAY,14,TRAIN,EW16/NE3/TE17,10943,8275
